restaurant id,category id,item id,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
1000,106,110,16.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,13.0,0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
1000,106,111,21.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,55,18.0,0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
1000,106,112,30.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,76,25.0,0,0.0,76.0,0.0,0.0,0.0,0.0,0.0
1000,106,113,12.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,9.0,0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
1000,106,114,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,115,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,116,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,117,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,118,16.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,37,12.0,0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
1000,106,119,21.0,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,53,18.0,0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
1000,106,120,30.0,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,4.0,72,24.0,0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
1000,106,121,12.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,27,9.0,0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
1000,106,122,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1000,106,123,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1000,106,124,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,6.0,0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1000,106,125,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000,106,126,16.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,37,12.0,0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
1000,106,127,21.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,54,18.0,0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
1000,106,128,30.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,74,25.0,0,0.0,74.0,0.0,0.0,0.0,0.0,0.0
1000,106,129,12.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,27,9.0,0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
1000,106,130,7.980103999999999,100,20.0,2.5,4.0,1.5,8.0,0.0,10.0,3.0,125.0,5.0,12,4.0,0,0.0,12.0,8.0,10.0,4.0,30.0,0.0
1000,106,131,7.980103999999999,130,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,135.0,6.0,23,8.0,1,2.0,22.0,9.0,10.0,0.0,30.0,8.0
1000,106,132,6.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,21,7.0,0,0.0,19.0,0.0,0.0,100.0,10.0,0.0
1000,106,133,12.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,11.0,0,0.0,30.0,2.0,0.0,130.0,2.0,0.0
1000,106,134,16.0,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,15.0,0,0.0,39.0,3.0,0.0,160.0,4.0,0.0
1000,106,135,22.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,65,22.0,0,0.0,58.0,4.0,0.0,240.0,4.0,0.0
1000,106,136,16.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,137,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,138,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,139,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,140,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,141,16.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,36,12.0,0,0.0,36.0,1.0,0.0,0.0,0.0,0.0
1000,106,142,21.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,45,15.0,0,0.0,45.0,1.0,0.0,0.0,0.0,0.0
1000,106,143,30.0,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,54,18.0,0,0.0,54.0,1.0,0.0,0.0,0.0,0.0
1000,106,144,12.0,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,27,9.0,0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
1000,106,145,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,146,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,147,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,106,148,12.0,170,80.0,9.0,13.0,5.0,24.0,0.0,25.0,9.0,115.0,5.0,15,5.0,1,3.0,12.0,9.0,8.0,0.0,30.0,0.0
1000,106,149,16.0,210,90.0,10.0,16.0,6.0,30.0,0.0,30.0,11.0,140.0,6.0,18,6.0,1,4.0,15.0,11.0,10.0,0.0,35.0,0.0
